keepers,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
saves percentage,#(%),psxg - goals allowed,#(+/-),clean sheet percentage,#(%),points,#
Hugo Lloris,80,Dubravka,10,Ederson,46,Pope,170
Bernd Leno,78,Guiata,7.3,Alisson,45,Henderson,160
Dean Henderson,75,Lloris,7.2,Nick Pope,40,Schmeichel,156
Kasper Schmeichel,74,Leno,6.4,Dean Henderson,36,Patricio,153
David Degea,74,McCarthy,6.2,Kasper Schmeichel,34,de Gea,143
Ederson,73,Dean Henderson,4.8,Rui Patricio,34,Dubravka,143
Alisson,72,Kasper Schmeichel,3.7,De Gea,34,Guiata,137
Guiata,71,Matthew Ryan,2.7,Dubravka,29,Ryan,135
Nick pope,71,De Gea,2.5,Lloris,29,Ederson,133
,,,,Guiata,29,Ramsdale,126
,,,,,,,
,,,,,,,
defenders,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
choose players,,,,,,,
,,,,,,,
keeper,defenders,midfielders,forwards,,,,
Lloris or Leno,,,,,,,
steer,,,,,,,
